date,time(local time),altitude (m),longitude,latitude,tilt (deg),roll (deg),compass (deg),gyro-x (deg/s),gyro-y (deg/sec),gyro-z (deg/s),pressure (hPa),speed (m/s),acceleration (m/s)
21/11/2018,12:34.0,115.699997,-75.69344193,45.38874574,7.6481,-51.827,68.587,225.113037,338.156525,157.286957,983.3649,4.722559,-0.730505
21/11/2018,12:35.0,115.6000061,-75.69344193,45.3887877,23.5248,-47.196,68.8343,52.38261,106.08696,-10.086957,983.3649,4.151531,-0.571029
21/11/2018,12:36.0,115.5,-75.69344956,45.38882966,6.0241,-70.1923,68.8658,433.947815,-66.573914,-2.086957,983.3968,3.724545,-0.426985
21/11/2018,12:37.0,115.5,-75.69346482,45.38886018,-24.5879,40.0621,67.4622,-73.808693,-52.104347,55.443478,983.3999,3.405593,-0.318953
21/11/2018,12:38.0,115.3999939,-75.69347245,45.38888688,-41.7885,-133.2499,66.9243,-26.713043,-354.573914,-74.782608,983.3999,3.194672,-0.21092
21/11/2018,12:39.0,115.3000031,-75.69348771,45.3889174,-20.5743,-111.4954,67.6282,242.852173,-367.026093,-144.556519,983.3999,3.158662,-0.036011
21/11/2018,12:40.0,115.3000031,-75.69350297,45.3889441,8.2379,-34.3041,68.0444,50.713043,39.095654,30.330435,984.4,3.174095,0.015433
21/11/2018,12:41.0,115.199997,-75.69352585,45.38896699,14.7759,-112.4385,70.3183,-332.17392,54.400002,142.747833,984.417,3.184384,0.010289
21/11/2018,12:42.0,115.199997,-75.69355637,45.38898988,-31.4054,31.0379,76.7895,-61.565216,-201.530441,37.843479,983.394,3.096929,-0.087455
21/11/2018,12:43.0,115.1000061,-75.69358689,45.38901658,-44.9559,2.2496,91.6748,117.565216,442.295654,404.660858,983.3976,2.870575,-0.226354
21/11/2018,12:44.0,115.1000061,-75.69360978,45.38903184,12.7837,-1.7489,114.2744,-216,78.121742,30.4,984.541,2.5259,-0.344675
21/11/2018,12:45.0,115.1000061,-75.69363267,45.38903947,14.6301,-38.4098,130.3071,-99.756523,62.191303,112.069565,984.541,2.212092,-0.313808
21/11/2018,12:46.0,115.1000061,-75.69367081,45.38903947,-57.4273,178.0553,140.8067,-40.278259,-78.81739,281.739136,984.541,2.098915,-0.113177
21/11/2018,12:47.0,115,-75.6936937,45.38903947,27.1359,-22.4689,142.1701,-8.208695,340.799988,228.03479,984.87,2.36128,0.262365
21/11/2018,12:48.0,114.8000031,-75.69371659,45.38901658,-36.8806,-51.1615,140.8016,239.026093,-500.452179,94.191307,983.3681,2.886008,0.524729
21/11/2018,12:49.0,114.6000061,-75.69373185,45.38898988,-8.5655,173.2473,135.2786,320.417389,-113.252174,-62.678261,984.416,3.662813,0.776804
21/11/2018,12:50.0,114.6000061,-75.69373185,45.38895173,-57.2049,-166.3193,130.3195,-274.504333,-206.608688,-101.147827,984.356,4.732848,1.070035
21/11/2018,12:51.0,114.6000061,-75.69371659,45.38890214,-61.4386,-160.4339,128.9085,-251.895645,-124.660866,24.556522,984.469,6.018948,1.2861
21/11/2018,12:52.0,114.6000061,-75.6936937,45.38885255,14.4171,29.7405,127.994,333.982605,47.86087,-23.930435,984.1122,7.181582,1.162634
21/11/2018,12:53.0,114.6000061,-75.69363267,45.3887877,-69.8027,20.1963,127.9001,-132.730438,-635.130432,-270.886963,984.1122,7.978965,0.797382
21/11/2018,12:54.0,114.5,-75.69357163,45.38873048,-23.167,-55.478,136.7159,192.626083,-4.591304,-255.165222,984.1064,8.48826,0.509295
21/11/2018,12:55.0,114.5,-75.69349534,45.38867326,0.1317,50.7845,144.0463,129.808701,126.330437,-84.313042,984.507,8.802069,0.313809
21/11/2018,12:56.0,114.5,-75.69342667,45.38860841,-31.2918,-31.2918,141.6007,-26.573914,42.226086,118.121742,984.986,8.822646,0.020577
21/11/2018,12:57.0,114.5,-75.69336564,45.38854356,20.2423,-65.0499,142.3155,2.434783,201.530441,76.660866,984.844,8.66317,-0.159476
21/11/2018,12:58.0,114.5,-75.69331223,45.38847871,9.1865,25.7106,142.8355,216.208694,-74.573914,-363.478271,984.844,8.66317,0
21/11/2018,12:59.0,114.3999939,-75.6932512,45.38840623,-19.6129,61.2628,145.6803,-192.208694,-396.660858,-109.286957,984.91,8.66317,0
21/11/2018,13:00.0,114.3999939,-75.69320542,45.38833375,-22.9869,-43.8603,146.4986,398.539124,416.765228,217.530441,984.559,8.31335,-0.349819
21/11/2018,13:01.0,114.3999939,-75.69316727,45.3882689,-14.8937,115.6636,143.3629,-426.643463,-388.452179,-52.939129,984.819,7.886365,-0.426985
21/11/2018,13:02.0,114.3999939,-75.69314438,45.38819261,3.4025,-71.3967,140.4,151.026093,-124.243477,192.347824,984.664,7.79891,-0.087455
21/11/2018,13:03.0,114.3999939,-75.6931215,45.38812776,-19.9994,-127.7393,135.7462,-265.808685,-88.626083,279.79129,984.664,7.953242,0.154332
21/11/2018,13:04.0,114.3000031,-75.69309861,45.38805528,-0.1947,-124.6895,130.3141,230.956528,272,79.86087,984.804,8.179596,0.226353
21/11/2018,13:05.0,114.199997,-75.69306046,45.3879828,-5.6897,44.8294,140.0995,337.878265,-191.652176,25.18261,984.804,8.328784,0.149188
21/11/2018,13:06.0,114.1000061,-75.69300706,45.38791795,22.0017,-40.9659,139.4102,-190.121735,-47.234783,86.678261,984.787,8.354505,0.025722
21/11/2018,13:07.0,114.1000061,-75.69295365,45.38784547,-6.6301,-44.6181,139.1015,103.09565,-141.495651,0.556522,984.787,8.030408,-0.324097
21/11/2018,13:08.0,114.1000061,-75.69290787,45.38778062,6.9456,-69.4348,138.9529,45.286957,68.521736,-73.321739,984.904,7.7166,-0.313808
21/11/2018,13:09.0,114.1000061,-75.6928621,45.3877234,-15.8808,-47.3868,143.4384,-415.86087,241.321732,-86.260872,984.601,7.433658,-0.282942
21/11/2018,13:10.0,114.1000061,-75.69282395,45.38765855,17.8542,13.7722,146.3422,273.391296,165.982605,-76.800003,984.601,7.263893,-0.169765
21/11/2018,13:11.0,114,-75.6927858,45.38760133,-5.3882,-104.3747,153.8643,-50.017391,59.33913,-116.382607,984.601,6.836908,-0.426985
21/11/2018,13:12.0,113.8999939,-75.69275529,45.38754411,-2.2958,45.0099,162.2223,298.782623,-155.547821,47.652172,984.1223,6.214435,-0.622472
21/11/2018,13:13.0,113.8999939,-75.69274003,45.38749452,-19.0314,32.7203,159.4855,-108.173912,190.399994,29.286957,984.636,5.381042,-0.833393
21/11/2018,13:14.0,113.8999939,-75.6927324,45.38744493,-73.6289,165.2323,162.9487,-44.799999,423.165222,128.278259,984.852,4.413895,-0.967147
21/11/2018,13:15.0,113.8999939,-75.69274003,45.38741441,-41.3114,132.1643,161.565,-198.399994,-852.03479,-37.078262,984.829,3.812,-0.601895
21/11/2018,13:16.0,113.8999939,-75.69274766,45.38738008,12.5174,-33.2375,160.1951,152.069565,155.96521,-11.895652,984.906,3.354149,-0.457852
21/11/2018,13:17.0,113.8000031,-75.69277054,45.38735719,-9.1192,-44.2803,159.8386,290.713043,-477.843475,-56.626087,984.995,3.019763,-0.334386
21/11/2018,13:18.0,113.6000061,-75.69279343,45.38733049,-12.0118,-67.2061,156.1718,-43.895653,-54.330433,-31.373913,984.995,2.91173,-0.108032
21/11/2018,13:19.0,113.6000061,-75.69282395,45.38731523,9.5731,44.262,148.6237,217.391312,135.165222,30.121738,984.1014,3.081495,0.169765
21/11/2018,13:20.0,113.5,-75.69284684,45.38729234,-11.9977,75.3649,145.3566,219.617386,478.817383,196.660873,984.107,3.385015,0.30352
